Open-Box1;1;2;3;4;5;6;7;8;9;10
;2;3;2;3;4;2;4;4;3;3
Pour-Carton1;1;2;3;4;5;6;7;8;9;10
;3;3;3;3;4;4;3;4;4;3
Open-Carton1;1;2;3;4;5;6;7;8;9;10
;3;2;4;3;2;3;4;2;3;4
Grasp-Carton1;1;2;3;4;5;6;7;8;9;10
;5;5;5;5;5;3;5;5;5;4
Grasp-Box1;1;2;3;4;5;6;7;8;9;10
;4;5;4;4;5;4;3;3;4;4
Open-Box1 1 2 3 4 5 6 7 8 9 10 
 2 3 2 3 4 2 4 4 3 3 
Pour-Carton1 1 2 3 4 5 6 7 8 9 10 
 3 3 3 3 4 4 3 4 4 3 
Open-Carton1 1 2 3 4 5 6 7 8 9 10 
 3 2 4 3 2 3 4 2 3 4 
Grasp-Carton1 1 2 3 4 5 6 7 8 9 10 
 5 5 5 5 5 3 5 5 5 4 
Grasp-Box1 1 2 3 4 5 6 7 8 9 10 
 4 5 4 4 5 4 3 3 4 4 
